timestamp,packet_size,src_mac,dst_mac,ethertype
1112701135.890463,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.892210,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.892470,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.894199,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.894471,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.896222,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.896473,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.898231,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.898471,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.900254,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.900473,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.902202,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.902469,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.904204,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.904476,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.906197,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.906554,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.908198,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.908473,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.910236,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.910477,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.912223,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.912478,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.913901,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.914473,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
